# #q, USAXS_int, USAXS_sub
1.888744607758734975e-03,2.802794064965042405e-03,3.706904254718421284e-04
1.927580611109585163e-03,2.706199830970703983e-03,3.489150650974495553e-04
1.967215152891765677e-03,2.550630839396912999e-03,3.504014647870545146e-04
2.007664652498918328e-03,2.474422015173113627e-03,3.574978889230150808e-04
2.048945866937089324e-03,2.302709478953098975e-03,2.486867842635405272e-04
2.091075897766669998e-03,2.210070299566883195e-03,2.560045854517255075e-04
2.134072198187040442e-03,2.080270486677779189e-03,2.789986239012012380e-04
2.177952580266910836e-03,2.012183331969577115e-03,2.289434218400105206e-04
2.222735222323321200e-03,1.948257050878353727e-03,1.970493703679875030e-04
2.268438676452373508e-03,1.778940292984271081e-03,8.605875058951173613e-05
2.315081876214803488e-03,1.778145558990607130e-03,1.804682641365267046e-04
2.362684144479574450e-03,1.663177158726669019e-03,1.102938372687563024e-04
2.411265201428768306e-03,1.559597497192638862e-03,6.204849216063135393e-05
2.460845172727055014e-03,1.473605188146708510e-03,7.119940619666038049e-05
2.511444597859155674e-03,1.421900949078714737e-03,1.039570930339379830e-04
2.563084438638725798e-03,1.385455810805865436e-03,6.900440825347931365e-05
2.615786087892197145e-03,1.315379954337976467e-03,1.093213785258268997e-04
2.669571378321185500e-03,1.249611721224498173e-03,4.780294475682095312e-05
2.724462591547115523e-03,1.179071120026467783e-03,9.881708957743375391e-05
2.780482467341832253e-03,1.170807929533996920e-03,8.194264498335621615e-05
2.837654213047994829e-03,1.116608461542013646e-03,2.006309756055930926e-05
2.896001513193172897e-03,1.064204472912478943e-03,9.197053844610132006e-05
2.955548539301641221e-03,1.012277131058021869e-03,8.316470670308628767e-05
3.016319959907901808e-03,9.771869710793676389e-04,3.988211442221116249e-05
3.078340950776127256e-03,9.272912168609276622e-04,3.690582264017565166e-05
3.141637205329708606e-03,8.857985185198790842e-04,2.726675656023814284e-05
3.206234945295262720e-03,8.530020813258019441e-04,4.462249503460751117e-06
3.272160931565506678e-03,8.128732273888405937e-04,3.211627779200489606e-05
3.339442475285485205e-03,7.811174983077477218e-04,1.161865114565900810e-05
3.408107449166763742e-03,7.672595704166301159e-04,2.713209409411381813e-05
3.478184299034227985e-03,7.453663692946895739e-04,5.126341176350443767e-05
3.549702055610358831e-03,6.998301404703996618e-04,2.607100928347959919e-05
3.622690346541757121e-03,6.775598670918866768e-04,1.241474577568673666e-05
3.697179408672995275e-03,6.613678694711990847e-04,1.364906767144995030e-05
3.773200100572839978e-03,6.154635910643696615e-04,-1.986763949440861765e-06
3.850783915317997162e-03,6.051512833400860469e-04,2.038281273819162950e-05
3.929962993539775143e-03,5.866637874756358778e-04,-3.559615894783508053e-07
4.010770136738949464e-03,5.698692141480151590e-04,3.541303065760154686e-05
4.093238820874449055e-03,5.486252893346499479e-04,3.557087516914110917e-05
4.177403210231429159e-03,5.253232199765565675e-04,1.309930870793554834e-05
4.263298171574511977e-03,4.891746230691783803e-04,-2.063739685006886482e-06
4.350959288592028476e-03,4.935824782168213992e-04,2.007003478678387551e-05
4.440422876637257002e-03,4.543267319806911344e-04,3.830790828958331382e-06
4.531725997772787472e-03,4.450261490576612380e-04,-9.981854958725667071e-06
4.624906476124211047e-03,4.413980713425565551e-04,2.464233716174569220e-05
4.720002913549520805e-03,4.132798907312246303e-04,-1.395118363769869141e-05
4.817054705630691332e-03,3.930578381911528662e-04,-2.577947210689640785e-05
4.916102057994065598e-03,3.900216797476259152e-04,-7.415894304996467450e-06
5.017186002966348389e-03,3.749709986283116859e-04,1.044686353549544424e-05
5.120348416573048886e-03,3.762212189158141754e-04,-4.919831801081502726e-06
5.225632035886466562e-03,3.352267889228301590e-04,1.430322674926456233e-06
5.333080476730365713e-03,3.313953224067707221e-04,-1.039718076452632875e-05
5.442738251748676509e-03,3.223232733830108470e-04,2.397948044871405209e-06
5.554650788845759066e-03,3.092203026729624014e-04,-3.671920880769248942e-05
5.668864450005797403e-03,3.059873816087358995e-04,-1.419696881329430248e-05
5.785426550499192001e-03,2.917226036661313610e-04,6.468454469012532588e-06
5.904385378483830056e-03,2.722772505729698935e-04,-2.874623948552305908e-05
6.025790215009403997e-03,2.665780469510245108e-04,-4.510487286117431053e-06
6.149691354433078037e-03,2.662265117886599493e-04,8.671683508535928987e-06
6.276140125254904903e-03,2.545479215192329248e-04,-1.583551427777435102e-05
6.405188911381706242e-03,2.446729220733396973e-04,-1.521329557306215149e-05
6.536891173828092080e-03,2.238812058728645391e-04,-2.109551753489951188e-05
6.671301472863799473e-03,2.470859477896507686e-04,2.131963049154512557e-05
6.808475490616318002e-03,2.237479596035505628e-04,1.375106893116285860e-06
6.948470054138333567e-03,2.328295566640954781e-04,4.167091354907945526e-05
7.091343158949479399e-03,2.057917147812593907e-04,9.491426039377477263e-06
7.237153993062080126e-03,1.960321750242076475e-04,-1.082326911423938482e-05
7.385962961501015347e-03,2.016149439568785354e-04,4.022315128891687085e-06
7.537831711327647004e-03,1.815000000316849076e-04,1.041525723098057628e-05
7.692823157178361147e-03,1.872012027192325261e-04,9.013478819359585503e-06
7.851001507328189688e-03,1.806189286073878815e-04,-1.410875745877740342e-05
8.012432290290381898e-03,1.820164992552184794e-04,1.204455611010740810e-05
8.177182381962874377e-03,1.754595804451278772e-04,1.710857116385926377e-05
8.345320033332938661e-03,1.557899531421188968e-04,-3.441964402054305478e-06
8.516914898751521551e-03,1.526474088866475805e-04,2.529863191752399149e-06
8.692038064788937257e-03,1.387886652689554706e-04,-1.210099092972149364e-05
8.870762079683895684e-03,1.362972438555704339e-04,4.030109633839848698e-07
9.053160983398041151e-03,1.408903523487314239e-04,-8.297505870179179739e-06
9.239310338288455118e-03,1.429887109462402812e-04,-1.247218860507185280e-05
9.429287260410862750e-03,1.278805163856059626e-04,-1.484064284200866941e-05
9.623170451466529426e-03,1.351721251500459520e-04,-1.092258753473572194e-06
9.821040231405933976e-03,1.187093307981560840e-04,-4.413954513972541275e-06
1.002297857170292815e-02,1.184882178306463375e-04,-1.411786785503626226e-05
1.022906912931307623e-02,1.083915154338513479e-04,-8.772291088641489100e-06
1.043939728133013584e-02,1.075037016178133310e-04,-6.179673989640610890e-06
1.065405016035524989e-02,1.034441795927476228e-04,-8.252125473780442307e-06
1.087311669059338147e-02,1.049706291137195402e-04,9.057018128524809298e-07
1.109668762469184257e-02,9.765840565776439774e-05,-3.943688741882143056e-06
1.132485558133647027e-02,9.427252082525585601e-05,-7.025441729872767258e-06
1.155771508362067775e-02,9.616857599789410715e-05,nan
1.179536259820353900e-02,8.973506037069088918e-05,3.310960248443050691e-06
1.203789657527305247e-02,8.680259508500504952e-05,-6.770308288115201348e-06
1.228541748933100440e-02,9.278637180080690058e-05,-1.762470667593008682e-06
1.253802788081660735e-02,8.334441465493197965e-05,-7.471950828729157011e-06
1.279583239858582411e-02,7.511299389437508048e-05,-1.252747085724652764e-05
1.305893784326426534e-02,6.944716970254886229e-05,-1.854002067795444762e-05
1.332745321149150959e-02,7.858962726693852110e-05,-5.673621756465809592e-06
1.360148974107501171e-02,7.494709605619237762e-05,-8.007532265580372187e-06
1.388116095707269196e-02,6.474582669461310599e-05,-1.476209407663712440e-05
1.416658271882282813e-02,6.402993309760442501e-05,-1.500763050879166179e-05
1.445787326794113065e-02,4.700646486215579166e-05,-3.089541223771462823e-05
1.475515327730471220e-02,6.130346616762689916e-05,-1.320603111684044988e-05
1.505854590104313377e-02,6.595612480807757261e-05,-8.637943024507351692e-06
1.536817682555747556e-02,6.368063562061340754e-05,-6.384177032747035112e-06
1.568417432158847324e-02,6.127058476892665554e-05,-1.106868964019246972e-05
1.600666929735510002e-02,6.191167889112598457e-05,-7.487934297092170869e-06
1.633579535278600892e-02,6.162020932659320529e-05,-5.673746935559218873e-06
1.667168883486585054e-02,5.885846024006962486e-05,-5.088949507227966010e-06
1.701448889411973434e-02,5.249234986767275450e-05,-1.047118220258113600e-05
1.736433754225917211e-02,5.358361729972811705e-05,-6.077677892496371592e-06
1.772137971101308412e-02,5.439257795760289553e-05,-5.342496208117066621e-06
1.808576331216881286e-02,5.369980427212498207e-05,-9.758285394456992466e-06
1.845763929884736490e-02,5.098162099699948813e-05,-1.055205292190993356e-05
1.883716172803878361e-02,4.682746131394988721e-05,-1.189067526943020581e-05
1.922448782442336829e-02,4.665245589774425199e-05,-1.149135445970359540e-05
1.961977804550499652e-02,4.572730743818065790e-05,-9.650121281836703121e-06
2.002319614808388548e-02,4.574189900110081809e-05,-8.127006099801719718e-06
2.043490925609613151e-02,4.663089449232456961e-05,-7.690033291821985991e-06
2.085508792984798465e-02,4.143131901451042946e-05,-1.024828228334702092e-05
2.128390623667399464e-02,4.175537376609529964e-05,-8.300498330178126009e-06
2.172154182304769296e-02,4.158169164688246762e-05,-5.867524891645843903e-06
2.216817598817523785e-02,3.753071342257287746e-05,-9.505999462395100293e-06
2.262399375910225871e-02,3.751080463318509135e-05,-7.617940442300557256e-06
2.308918396736481249e-02,3.576126498213313108e-05,-8.624367040181401254e-06
2.356393932721679088e-02,3.530205515150737272e-05,-8.582582384952620945e-06
2.404845651546542312e-02,3.287896445894043806e-05,-7.733144324207128330e-06
2.454293625294861822e-02,3.246279048175088619e-05,-1.097784438595219772e-05
2.504758338768763720e-02,3.142790898832659413e-05,-1.086139568659156158e-05
2.556260697974924168e-02,3.158514442949867149e-05,-8.666978486029344904e-06
2.608822038785318584e-02,3.106166926900410776e-05,-1.154173145180426691e-05
2.662464135776009336e-02,3.022233166530053605e-05,-1.044350315720723885e-05
2.717209211247705383e-02,2.838410030104106076e-05,-9.763097910259792631e-06
2.773079944431795785e-02,2.909052098791611228e-05,-8.745325517396317468e-06
2.830099480885654717e-02,2.867642083376598891e-05,-8.642793289349729927e-06
2.888291442081156526e-02,2.777318264650779144e-05,-8.367010492697022614e-06
2.947679935190344880e-02,2.681298744599067011e-05,-1.041508992588143965e-05
3.008289563072286815e-02,2.601676625982444447e-05,-1.042436005635080339e-05
3.070145434465316667e-02,2.632887901238446245e-05,-9.847973632077592081e-06
3.133273174388809257e-02,2.578704858987605541e-05,-8.164662392788662104e-06
3.197698934758858719e-02,2.491290149012169582e-05,-1.022010681070433132e-05
3.263449405222236532e-02,2.451305487836543287e-05,-9.141120797730291033e-06
3.330551824213086320e-02,2.543893316086256635e-05,-9.036335561594539123e-06
3.399033990237007585e-02,2.471637853218793359e-05,-9.695485166633896105e-06
3.468924273387116730e-02,2.528965106144223052e-05,-9.581790700802920356e-06
3.540251627096925591e-02,2.440757682552337657e-05,-8.010563715575422299e-06
3.613045600134889151e-02,2.376286007187902247e-05,-8.907442530740172494e-06
3.687336348845546979e-02,2.350340787731422786e-05,-8.496838261480924443e-06
3.763154649642391769e-02,2.331035498023328325e-05,-1.033330992177134601e-05
3.840531911757624761e-02,2.370491839601516026e-05,-8.307987499039415390e-06
3.919500190254020938e-02,2.335606942695528178e-05,-1.012223220933105403e-05
4.000092199304409318e-02,2.319463060935280722e-05,-7.945539873032651107e-06
4.082341325744134192e-02,2.345893829254712184e-05,-9.472046477486013996e-06
4.166281642902226745e-02,2.294013211148671877e-05,-7.914142022338556881e-06
