# #q, WAXS_int
2.131169280536456601e+00,9.213330078125000000e+02
2.132890014172549531e+00,9.186714477539062500e+02
2.134610747808642017e+00,9.164785156250000000e+02
2.136331481444734948e+00,9.175058593750000000e+02
2.138052215080827434e+00,9.138142700195312500e+02
2.139772948716920364e+00,9.105596313476562500e+02
2.141493682353012851e+00,9.059973754882812500e+02
2.143214415989105781e+00,9.054882202148437500e+02
2.144935149625198267e+00,9.044052734375000000e+02
2.146655883261290754e+00,9.046044311523437500e+02
2.148376616897383684e+00,9.061878051757812500e+02
2.150097350533476170e+00,9.037494506835937500e+02
2.151818084169569101e+00,9.004089355468750000e+02
2.153538817805661587e+00,8.993457031250000000e+02
2.155259551441754517e+00,8.955145263671875000e+02
2.156980285077847004e+00,8.954748535156250000e+02
2.158701018713939490e+00,8.947251586914062500e+02
2.160421752350032421e+00,8.930814208984375000e+02
2.162142485986124907e+00,8.930390625000000000e+02
2.163863219622217837e+00,8.904251098632812500e+02
2.165583953258310324e+00,8.913682250976562500e+02
2.167304686894403254e+00,8.850051269531250000e+02
2.169025420530495740e+00,8.853677368164062500e+02
2.170746154166588671e+00,8.844674072265625000e+02
2.172466887802681157e+00,8.830528564453125000e+02
2.174187621438773643e+00,8.854750976562500000e+02
2.175908355074866574e+00,8.826746826171875000e+02
2.177629088710959060e+00,8.788392333984375000e+02
2.179349822347051990e+00,8.772156372070312500e+02
2.181070555983144477e+00,8.736438598632812500e+02
2.182791289619237407e+00,8.729766235351562500e+02
2.184512023255329893e+00,8.720905151367187500e+02
2.186232756891422380e+00,8.701304321289062500e+02
2.187953490527515310e+00,8.686093750000000000e+02
2.189674224163608240e+00,8.686791992187500000e+02
2.191394957799700727e+00,8.667834472656250000e+02
2.193115691435793213e+00,8.659055786132812500e+02
2.194836425071886143e+00,8.629658813476562500e+02
2.196557158707978630e+00,8.607581787109375000e+02
2.198277892344071116e+00,8.598841552734375000e+02
2.199998625980164046e+00,8.591499633789062500e+02
2.201719359616256977e+00,8.597133789062500000e+02
2.203440093252349463e+00,8.581877441406250000e+02
2.205160826888441949e+00,8.566231689453125000e+02
2.206881560524534880e+00,8.577482299804687500e+02
2.208602294160627366e+00,8.552145996093750000e+02
2.210323027796719852e+00,8.510125732421875000e+02
2.212043761432812783e+00,8.531308593750000000e+02
